Problem,Dataset,dlv,clingo bnb,aspirena,mingo,maxmodels,ezsmt,acyc2solver_mip_fvs,acyc2solver_mip_ve,clingo usc,acyc2solver_mip_ve_smodels_gurobi,acyc2solver_mip_fvs_smodels_gurobi
connected-maximum-density-still-life,p1,0.02,0.02,0.07,0.17,0.03,0.22,0.42,0.42,0.03,0.07,0.07
connected-maximum-density-still-life,p2,0.03,0.03,0.12,0.22,0.07,0.32,0.47,0.47,0.03,0.07,0.07
connected-maximum-density-still-life,p3,0.03,0.03,0.22,0.22,0.07,0.47,0.52,0.52,0.03,0.07,0.07
connected-maximum-density-still-life,p4,0.07,0.03,0.32,0.22,0.07,0.72,0.58,0.63,0.07,0.12,0.12
connected-maximum-density-still-life,p5,0.07,0.03,0.42,0.27,0.12,1.02,0.69,0.84,0.07,0.12,0.12
connected-maximum-density-still-life,p6,0.07,0.07,0.62,0.32,0.12,1.38,0.79,1.05,0.07,0.12,0.12
connected-maximum-density-still-life,p7,0.12,0.07,0.82,0.42,0.12,1.73,0.89,1.43,0.07,0.12,0.12
connected-maximum-density-still-life,p8,0.12,0.12,1.07,0.42,0.17,2.18,1.01,1.98,0.07,0.17,0.17
connected-maximum-density-still-life,p9,0.17,0.12,1.32,0.52,0.17,2.69,1.16,2.56,0.12,0.17,0.17
connected-maximum-density-still-life,p10,0.17,0.12,1.62,0.62,0.22,3.24,1.32,3.57,0.12,0.22,0.22
degree-bounded-connected-subgraph,p1,58.01,600.0,0.47,0.27,8.39,600.0,3.24,3.22,27.96,3.19,3.18
degree-bounded-connected-subgraph,p2,10.81,600.0,0.67,0.22,5.52,600.0,3.48,3.55,4.15,3.55,3.5
degree-bounded-connected-subgraph,p3,600.0,600.0,0.37,0.27,38.93,600.0,3.65,3.73,295.33,3.55,3.5
degree-bounded-connected-subgraph,p4,57.03,600.0,0.47,0.42,6.16,600.0,3.57,3.52,14.88,3.55,3.5
degree-bounded-connected-subgraph,p5,3.42,600.0,0.82,0.17,8.28,600.01,3.73,3.58,1.88,3.55,3.5
degree-bounded-connected-subgraph,p6,17.85,600.0,1.07,0.32,12.25,600.01,3.73,4.33,4.93,3.55,3.5
degree-bounded-connected-subgraph,p7,11.69,600.0,0.72,0.27,4.83,600.01,4.53,4.03,5.93,3.9,3.85
degree-bounded-connected-subgraph,p8,600.0,600.0,1.32,0.27,69.2,600.0,4.33,4.13,600.01,3.9,3.85
degree-bounded-connected-subgraph,p9,75.92,600.0,1.37,0.17,14.86,600.01,4.28,4.63,20.02,3.95,3.9
degree-bounded-connected-subgraph,p10,600.0,600.0,2.78,0.22,527.34,600.33,4.43,4.08,600.01,3.9,3.9
dominating-set,p1,0.12,600.0,1.34,2.33,1.57,600.01,1.33,1.28,0.17,0.57,0.57
dominating-set,p2,0.02,600.0,0.47,1.32,0.72,600.0,0.83,0.57,0.02,0.32,0.32
dominating-set,p3,0.01,600.0,0.77,1.68,0.82,600.01,0.57,0.62,0.02,0.17,0.17
dominating-set,p4,0.02,600.0,0.37,1.68,1.27,600.0,0.67,0.67,0.02,0.22,0.22
dominating-set,p5,0.13,600.01,1.39,5.4,1.42,600.01,0.98,0.88,0.07,0.47,0.47
dominating-set,p6,0.04,600.01,0.88,1.49,0.67,600.01,0.42,0.42,0.02,0.17,0.17
dominating-set,p7,0.02,600.02,0.18,1.49,0.62,600.0,0.22,0.22,0.02,0.12,0.12
dominating-set,p8,0.02,600.01,0.23,1.59,0.62,600.12,0.32,0.27,0.01,0.12,0.12
dominating-set,p9,1.63,41.37,5.47,5.15,1.08,600.01,1.38,1.37,0.52,0.82,0.82
dominating-set,p10,1.89,35.76,3.73,5.96,0.92,600.01,1.58,1.63,0.32,0.62,0.62
fault-detection-in-directed-graphs,p1,0.17,600.01,0.48,0.48,0.87,600.02,0.17,0.12,0.03,0.17,0.17
fault-detection-in-directed-graphs,p2,600.01,600.01,0.58,0.58,0.82,600.01,0.22,0.17,367.41,0.22,0.22
fault-detection-in-directed-graphs,p3,600.01,600.01,0.74,0.58,0.77,600.01,0.22,0.17,600.01,0.22,0.22
fault-detection-in-directed-graphs,p4,227.32,600.01,0.48,0.48,0.82,600.0,0.17,0.17,75.02,0.17,0.17
fault-detection-in-directed-graphs,p5,0.07,351.84,0.59,0.52,1.28,600.0,0.17,0.17,0.02,0.22,0.22
fault-detection-in-directed-graphs,p6,600.01,600.01,0.83,0.53,0.87,600.0,0.17,0.17,600.0,0.22,0.22
fault-detection-in-directed-graphs,p7,600.01,600.01,1.24,0.68,0.97,600.01,0.17,0.22,600.0,0.27,0.27
fault-detection-in-directed-graphs,p8,600.01,600.01,0.94,0.53,0.87,600.01,0.17,0.17,600.0,0.22,0.22
fault-detection-in-directed-graphs,p9,600.02,600.02,0.38,0.53,1.37,600.0,0.17,0.17,113.1,0.17,0.17
fault-detection-in-directed-graphs,p10,1.29,600.01,0.79,0.73,0.77,600.0,0.17,0.17,0.12,0.22,0.22
feedback-arc-set,p1,0.07,5.73,2.87,43.64,7.46,600.0,28.05,25.24,0.03,16.8,15.35
feedback-arc-set,p2,8.87,600.01,80.16,600.0,30.2,600.0,553.22,600.0,0.42,116.42,71.22
feedback-arc-set,p3,0.38,589.89,17.67,152.94,14.86,600.0,25.56,25.38,0.03,19.53,17.37
feedback-arc-set,p4,0.17,0.07,2.7,8.82,2.97,600.0,17.26,17.36,0.03,17.31,17.02
feedback-arc-set,p5,0.28,600.01,10.88,47.67,5.47,600.0,15.95,20.35,0.07,11.78,9.35
feedback-arc-set,p6,0.38,600.01,35.47,600.02,7.63,600.0,78.24,72.01,0.07,17.58,14.1
feedback-arc-set,p7,0.53,600.0,27.57,31.13,8.43,600.01,49.05,27.83,0.03,17.43,12.31
feedback-arc-set,p8,0.53,600.01,35.63,486.48,12.68,600.0,51.06,56.27,0.07,24.39,15.64
feedback-arc-set,p9,0.67,600.02,95.38,600.02,11.81,600.0,139.57,455.91,0.07,37.94,23.5
feedback-arc-set,p10,1.69,600.02,366.53,600.01,37.66,600.0,600.0,600.0,0.12,133.29,52.68
knight-tour-with-holes,p1,6.83,1.7,36.38,217.43,3.63,79.14,48.59,47.57,0.32,9.92,9.97
knight-tour-with-holes,p2,6.12,1.61,36.69,203.39,3.53,77.37,40.17,40.17,0.37,9.1,9.07
knight-tour-with-holes,p3,7.69,1.56,35.49,230.57,3.4,79.0,42.98,43.14,0.27,9.73,9.72
knight-tour-with-holes,p4,6.62,1.64,41.43,231.26,3.09,75.9,40.26,40.26,0.27,8.77,8.77
knight-tour-with-holes,p5,6.22,1.55,36.49,223.73,3.45,79.96,47.18,47.17,0.27,9.65,9.68
knight-tour-with-holes,p6,10.09,2.52,35.82,600.02,3.28,77.78,42.02,42.44,0.27,9.24,9.27
knight-tour-with-holes,p7,6.33,2.05,50.24,331.5,3.28,76.01,42.32,42.27,0.27,9.19,9.22
knight-tour-with-holes,p8,6.48,1.7,35.28,250.5,3.29,76.93,39.95,39.98,0.27,8.89,8.92
knight-tour-with-holes,p9,5.15,1.39,35.51,238.35,3.14,78.22,42.71,43.38,0.27,8.96,8.97
knight-tour-with-holes,p10,5.72,1.03,27.92,240.84,3.23,79.51,44.02,44.06,0.27,9.47,9.46
longest-circuit,p1,600.02,330.27,0.34,2.49,0.62,600.0,0.52,0.52,600.0,0.47,0.52
longest-circuit,p2,600.01,168.68,0.46,2.66,1.33,600.0,0.62,0.62,600.02,0.52,0.57
longest-circuit,p3,600.01,600.01,0.59,2.65,1.83,600.0,0.57,0.62,600.0,0.57,0.57
longest-circuit,p4,600.02,600.02,0.54,4.21,0.82,600.0,0.57,0.57,600.0,0.52,0.52
longest-circuit,p5,600.01,600.02,1.83,3.81,2.32,600.0,0.72,0.67,600.0,0.77,0.67
longest-circuit,p6,600.01,600.02,0.81,3.71,15.36,600.0,0.72,0.57,600.0,0.62,0.57
longest-circuit,p7,600.03,600.03,0.8,4.32,6.78,600.0,0.67,0.72,600.0,0.62,0.57
longest-circuit,p8,600.01,600.02,1.67,3.61,14.55,600.0,0.82,0.77,600.0,0.77,0.67
longest-circuit,p9,600.02,301.3,0.55,3.57,4.18,600.0,0.67,0.72,600.0,0.57,0.57
longest-circuit,p10,600.02,600.02,0.8,3.07,3.42,600.0,0.82,0.77,600.0,0.62,0.57
longest-path,p1,600.03,561.84,0.38,2.3,0.77,600.0,0.62,0.57,17.01,0.47,0.47
longest-path,p2,600.02,287.65,0.35,1.37,1.27,600.0,0.47,0.47,600.0,0.47,0.47
longest-path,p3,180.15,381.82,0.32,0.43,1.38,600.0,0.47,0.47,18.97,0.47,0.47
longest-path,p4,600.03,600.01,0.45,3.46,1.52,600.0,0.53,0.57,176.56,0.57,0.52
longest-path,p5,600.02,369.0,0.39,1.92,0.87,600.0,0.47,0.47,600.0,0.47,0.47
longest-path,p6,600.04,309.15,0.5,3.51,1.08,600.0,0.67,0.67,368.74,0.52,0.52
longest-path,p7,103.68,311.18,0.56,3.21,1.58,600.0,0.83,0.57,87.79,0.52,0.52
longest-path,p8,600.02,361.2,0.31,5.08,1.18,600.0,0.62,0.47,600.0,0.47,0.47
longest-path,p9,600.02,242.36,0.39,4.48,0.97,600.0,0.63,0.67,17.7,0.47,0.47
longest-path,p10,600.03,501.62,0.25,1.97,2.09,600.0,0.47,0.47,241.82,0.47,0.47
maximal-clique,p1,69.92,600.02,3.72,6.47,2.02,600.0,1.22,1.22,2.44,1.14,1.13
maximal-clique,p2,62.38,600.01,2.86,4.76,0.87,600.0,0.83,0.83,1.72,0.87,0.88
