Problem,Dataset,dlv,clingo,aspirena,mingo
feedback-arc-set,p1,0.07,5.73,2.87,43.64
feedback-arc-set,p2,8.87,600.01,80.16,600.0
feedback-arc-set,p3,0.38,589.89,17.67,152.94
feedback-arc-set,p4,0.17,0.07,2.7,8.82
feedback-arc-set,p5,0.28,600.01,10.88,47.67
feedback-arc-set,p6,0.38,600.01,35.47,600.02
feedback-arc-set,p7,0.53,600.0,27.57,31.13
feedback-arc-set,p8,0.53,600.01,35.63,486.48
feedback-arc-set,p9,0.67,600.02,95.38,600.02
feedback-arc-set,p10,1.69,600.02,366.53,600.01
knight-tour-with-holes,p1,6.83,1.7,36.38,217.43
knight-tour-with-holes,p2,6.12,1.61,36.69,203.39
knight-tour-with-holes,p3,7.69,1.56,35.49,230.57
knight-tour-with-holes,p4,6.62,1.64,41.43,231.26
knight-tour-with-holes,p5,6.22,1.55,36.49,223.73
knight-tour-with-holes,p6,10.09,2.52,35.82,600.02
knight-tour-with-holes,p7,6.33,2.05,50.24,331.5
knight-tour-with-holes,p8,6.48,1.7,35.28,250.5
knight-tour-with-holes,p9,5.15,1.39,35.51,238.35
knight-tour-with-holes,p10,5.72,1.03,27.92,240.84
maximum-leaf-spanning-tree,p1,14.35,60.19,1.27,4.84
maximum-leaf-spanning-tree,p2,187.59,82.49,0.52,3.9
maximum-leaf-spanning-tree,p3,408.93,380.94,0.62,6.5
maximum-leaf-spanning-tree,p4,392.81,490.59,1.69,15.86
maximum-leaf-spanning-tree,p5,600.0,600.01,0.89,13.15
maximum-leaf-spanning-tree,p6,23.68,19.41,3.87,21.56
maximum-leaf-spanning-tree,p7,148.6,130.5,7.86,13.54
maximum-leaf-spanning-tree,p8,600.01,516.33,4.78,31.48
maximum-leaf-spanning-tree,p9,475.43,246.82,24.36,68.17
maximum-leaf-spanning-tree,p10,600.0,272.38,8.94,14.32
stacker-crane,p1,4.56,0.33,3.98,16.91
stacker-crane,p2,142.02,47.39,5.24,116.52
stacker-crane,p3,8.99,0.48,4.27,21.19
stacker-crane,p4,10.2,1.69,4.32,600.02
stacker-crane,p5,7.04,12.61,4.17,44.54
stacker-crane,p6,8.08,3.15,4.74,41.37
stacker-crane,p7,8.44,0.75,5.48,41.42
stacker-crane,p8,4.47,2.65,4.53,69.73
stacker-crane,p9,15.52,23.83,4.93,129.41
stacker-crane,p10,3.05,19.16,4.12,11.77
visit-all,p1,0.28,0.13,1.94,3.96
visit-all,p2,0.53,0.18,3.96,1.94
visit-all,p3,0.07,0.13,2.55,6.71
visit-all,p4,0.23,0.12,3.26,12.85
visit-all,p5,42.27,16.26,18.32,65.88
visit-all,p6,0.12,0.08,0.9,0.44
visit-all,p7,0.13,0.04,0.19,0.43
visit-all,p8,55.87,6.56,10.68,59.02
visit-all,p9,600.02,600.02,178.46,597.41
visit-all,p10,600.01,344.22,21.07,473.94
